Name,Value,Year,lastValue,rank
Mainz,3,1454,3,1
Mainz,4,1455,4,1
Mainz,4,1456,4,1
Mainz,2,1457,2,1
Mainz,3,1458,3,1
Mainz,4,1459,4,1
Mainz,2,1460,2,1
Mainz,12,1461,12,1
Mainz,8,1462,8,1
Mainz,2,1463,2,1
Mainz,2,1464,2,1
Mainz,2,1465,2,1
Mainz,6,1466,6,1
Venezia,1,1455,1,2
Venezia,1,1461,1,2
Bologna,1,1462,1,2
Bologna,1,1465,1,2
Köln,1,1465,1,3
Köln,2,1466,2,2
Köln,14,1467,14,1
Mainz,4,1467,4,2
Roma,3,1467,3,3
Roma,6,1468,6,1
Köln,2,1468,2,2
Mainz,1,1468,1,3
Venezia,1,1468,1,4
Basel,1,1468,1,5
Augsburg,1,1468,1,6
Roma,20,1469,20,1
Mainz,5,1469,5,2
Venezia,3,1469,3,3
Augsburg,3,1469,3,4
Köln,1,1469,1,5
Köln,62,1470,62,1
Roma,44,1470,44,2
Venezia,22,1470,22,3
Strasbourg,17,1470,17,4
Mainz,14,1470,14,5
Nürnberg,10,1470,10,6
Augsburg,8,1470,8,7
Paris,2,1470,2,8
Basel,1,1470,1,9
Bologna,1,1470,1,10
Venezia,72,1471,72,1
Roma,36,1471,36,2
Köln,18,1471,18,3
Augsburg,15,1471,15,4
Strasbourg,9,1471,9,5
Paris,9,1471,9,6
Milano,5,1471,5,7
Mainz,4,1471,4,8
Nürnberg,4,1471,4,9
Bologna,3,1471,3,10
Firenze,1,1471,1,11
Venezia,75,1472,75,1
Köln,69,1472,69,2
Roma,39,1472,39,3
Strasbourg,23,1472,23,4
Augsburg,22,1472,22,5
Basel,14,1472,14,6
Nürnberg,12,1472,12,7
Paris,11,1472,11,8
Milano,9,1472,9,9
Bologna,5,1472,5,10
Mainz,4,1472,4,11
Toulouse,4,1472,4,12
Firenze,3,1472,3,13
Roma,54,1473,54,1
Augsburg,40,1473,40,2
Köln,35,1473,35,3
Strasbourg,33,1473,33,4
Venezia,31,1473,31,5
Paris,21,1473,21,6
Nürnberg,16,1473,16,7
Basel,13,1473,13,8
Milano,11,1473,11,9
Mainz,5,1473,5,10
Lyon,5,1473,5,11
Bologna,3,1473,3,12
Erfurt,3,1473,3,13
Louvain,2,1473,2,14
Firenze,1,1473,1,15
